neo_reference_id,name,absolute_magnitude_h,kilometer_est_diameter_min,kilometer_est_diameter_max,potentially_hazardous,perihelion_distance,aphelion_distance,orbital_period,semi_major_axis,min_orbit_intersection
2283457,283457 (2001 MQ3),19.1,0.4023045798,0.8995803882,False,1.213077954238476,3.249765367719513,1217.505393296385,2.231421660978994,.207256
2281375,281375 (2008 JV19),20.7,0.1925550782,0.4305662442,True,.7406769409125253,1.23028705780821,357.3316385088842,.9854819993603678,.0410784
2284114,284114 (2005 TZ51),17.9,0.6991252322,1.5632915441,False,1.211592783051898,3.039491623251128,1131.886878846369,2.125542203151513,.267379
2283729,283729 (2002 UX),17.9,0.6991252322,1.5632915441,False,1.23282529391432,1.714345142770386,653.3731922672981,1.473585218342353,.350549
2284422,284422 (2006 YD),17.4,0.8801465209,1.9680674509,False,.8058049949159902,4.446729004920183,1554.557326184499,2.626266999918087,.105326
2285179,285179 (1996 TY11),19.3,0.3669061375,0.8204270649,False,.5705255277105696,1.885769377275748,497.1348333628554,1.228147452493159,.197724
2285110,285110 (1995 MA1),17.1,1.0105434154,2.2596437711,False,1.076958528568656,4.142252008422874,1539.787031636943,2.609605268495765,.365575
2285263,285263 (1998 QE2),17.2,0.9650614696,2.1579430484,True,1.037850428698239,3.809668864521537,1378.265079479322,2.423759646609888,.0340786
2285331,285331 (1999 FN53),18.3,0.5815070396,1.30028927,False,.944646431656702,2.526486635972982,835.1420046795599,1.735566533814842,.0574503
2285339,285339 (1999 JR6),18.0,0.6676594135,1.4929318344,False,.4436095279987883,2.289335056373918,583.4446634027363,1.366472292186353,.22186
2285571,285571 (2000 PQ9),18.1,0.6376097899,1.4257388333,False,1.081805738807153,2.725734287385523,959.4451450737467,1.903770013096338,.0673893
2285540,285540 (2000 GU127),18.5,0.5303407233,1.1858779086,False,.5748124938115861,3.634630840606257,1115.296745249553,2.104721667208922,.108536
2285625,285625 (2000 RD34),17.8,0.7320739893,1.6369672047,False,1.28263549964557,2.644970326352221,1005.183327912362,1.963802912998895,.313153
2285638,285638 (2000 SO10),17.5,0.8405334021,1.8794898244,False,.5972993041468785,2.001732004709664,541.0914856874825,1.299515654428271,.365897
2285818,285818 (2001 BZ39),18.7,0.4836764882,1.0815335068,False,1.149834695374413,2.825985455693884,1023.749091154273,1.987910075534148,.165409
2285567,285567 (2000 OM),18.6,0.5064714588,1.1325046106,False,.6108232215340688,2.791025709462299,810.2629274413163,1.700924465498184,.0534806
2285838,285838 (2001 FA1),17.9,0.6991252322,1.5632915441,False,1.205686975669431,2.559817777286131,943.6006547277027,1.882752376477781,.256749
2285944,285944 (2001 RZ11),16.5,1.332155667,2.978790628,False,1.08148744910467,3.302712688002305,1185.465693512656,2.192100068553488,.0889494
2285990,285990 (2001 SK9),18.0,0.6676594135,1.4929318344,False,.3762854886162143,3.194153610795002,871.2361315693938,1.785219549705608,.219751
2286079,286079 (2001 TW1),19.2,0.3841978911,0.8590926012,False,.4318843598173611,1.390683427227956,317.7451779424893,.9112838935226587,.148361
2288914,288914 (2004 SX),19.1,0.4023045798,0.8995803882,False,1.186337390979288,2.342675296349492,856.1172798904053,1.76450634366439,.320803
2288592,288592 (2004 JW20),20.7,0.1925550782,0.4305662442,False,.4177942754830218,1.487747525506738,339.6887419169148,.9527709004948801,.0989838
2288807,288807 (2004 RW164),18.5,0.5303407233,1.1858779086,False,.928640330361691,2.051259608369206,664.2873087024504,1.489949969365448,.0516438
2286080,286080 (2001 TX1),21.2,0.1529519353,0.3420109247,True,.5419770108444275,1.552713927297369,391.5014403965278,1.047345469070898,.0423334
2289315,289315 (2005 AN26),18.5,0.5303407233,1.1858779086,True,.8410300981409371,3.799906841453747,1291.106104019944,2.320468469797342,.0384705
